date,site,revenue,pageviews,cpm
3/8/2016,hoosierhuddle,0.448873415,514,0.873294582
3/8/2016,buffalofambase,0.119527595,134,0.891996979
3/8/2016,therepublikofmancunia,7.763274314,3872,2.00497787
3/8/2016,totalbarca,1.630390795,518,3.147472578
3/8/2016,tennisguru,0.687928606,304,2.262923045
4/8/2016,projectspurs,1.153981808,1343,0.859256745
4/8/2016,hoosierhuddle,0.264024856,404,0.65352687
4/8/2016,buffalofambase,0.094018607,141,0.666798632
4/8/2016,totalbarca,1.099244948,467,2.353843572
4/8/2016,tidefans,8.344473366,12830,0.650387636
4/8/2016,philliesnation,1.092161354,1662,0.657136796
4/8/2016,huskermax,3.591382,5516,0.651084482
4/8/2016,tennisguru,0.389597653,230,1.693902839
4/8/2016,wearewearside,1.621498992,2077,0.780692822
4/8/2016,therepublikofmancunia,6.979915636,4649,1.501380003
5/8/2016,therepublikofmancunia,2.160911311,2321,0.931025985
5/8/2016,tennisguru,0.317029487,302,1.049766512
5/8/2016,totalbarca,0.642443884,440,1.460099736
5/8/2016,buffalofambase,0.098223241,238,0.412702695
5/8/2016,projectspurs,0.547814176,1028,0.532893167
5/8/2016,tidefans,3.571572742,8857,0.403248588
5/8/2016,philliesnation,0.511479562,1255,0.407553436
5/8/2016,huskermax,2.185267481,5413,0.403707275
5/8/2016,hoosierhuddle,0.139748514,345,0.405068157
5/8/2016,wearewearside,3.128769593,6464,0.484029949
6/8/2016,tennisguru,1.265435247,1689,0.749221579
6/8/2016,hoosierhuddle,0.072595273,251,0.289224195
6/8/2016,buffalofambase,0.051813097,176,0.294392595
6/8/2016,totalbarca,0.437849136,421,1.040021701
6/8/2016,wearewearside,3.875733509,11230,0.345123198
6/8/2016,therepublikofmancunia,3.435322187,5176,0.663702123
6/8/2016,huskermax,1.481228254,5146,0.287840702
6/8/2016,tidefans,2.649585116,9215,0.287529584
6/8/2016,projectspurs,0.296359526,780,0.37994811
6/8/2016,philliesnation,0.139496799,480,0.290618331
7/8/2016,tennisguru,2.545218494,3023,0.841951205
7/8/2016,philliesnation,0.117727552,361,0.326115103
7/8/2016,therepublikofmancunia,21.31732458,28583,0.74580431
7/8/2016,wearewearside,1.040353261,2683,0.387757458
7/8/2016,projectspurs,0.386453487,905,0.427020427
7/8/2016,buffalofambase,0.032950918,100,0.329509182
7/8/2016,huskermax,1.597959575,4940,0.323473598
7/8/2016,totalbarca,0.617109914,527,1.170986554
7/8/2016,tidefans,5.208484452,16121,0.323086933
7/8/2016,hoosierhuddle,0.113248787,349,0.324495091
8/8/2016,totalbarca,0.299737562,460,0.651603395
8/8/2016,hoosierhuddle,0.099139848,548,0.180912131
8/8/2016,buffalofambase,0.036375052,197,0.184644935
8/8/2016,tennisguru,1.04150333,2220,0.469145644
8/8/2016,philliesnation,0.277448927,1525,0.181933723
8/8/2016,therepublikofmancunia,3.21937042,7745,0.41567081
8/8/2016,tidefans,2.642183932,14672,0.18008342
8/8/2016,wearewearside,0.794010329,3673,0.216174878
8/8/2016,huskermax,1.147597232,6365,0.180298073
8/8/2016,projectspurs,0.35430014,1489,0.237945023
9/8/2016,therepublikofmancunia,2.231259008,4457,0.500619028
9/8/2016,tidefans,3.206656353,14785,0.216885786
9/8/2016,hoosierhuddle,0.089765762,412,0.217878063
9/8/2016,huskermax,1.393946316,6420,0.217125594
9/8/2016,totalbarca,0.37366609,476,0.785012794
9/8/2016,tennisguru,0.55555987,983,0.565167722
9/8/2016,wearewearside,0.646399385,2483,0.260329998
9/8/2016,philliesnation,0.24352721,1111,0.219196409
9/8/2016,projectspurs,0.32234069,1125,0.286525058
9/8/2016,buffalofambase,0.028561833,129,0.221409561
10/8/2016,projectspurs,0.494547154,1248,0.396271758
10/8/2016,tennisguru,0.370687596,474,0.782041342
10/8/2016,hoosierhuddle,0.143760254,477,0.30138418
10/8/2016,wearewearside,0.894640256,2485,0.3600162
10/8/2016,tidefans,3.853903494,12847,0.299984704
10/8/2016,therepublikofmancunia,1.72155874,2486,0.692501504
10/8/2016,huskermax,2.216402919,7380,0.300325599
10/8/2016,philliesnation,0.187422975,618,0.303273423
10/8/2016,buffalofambase,0.047524051,155,0.306606779
10/8/2016,totalbarca,0.45415171,418,1.086487345
11/8/2016,huskermax,1.78905958,7392,0.242026458
11/8/2016,buffalofambase,0.062475856,252,0.247920065
11/8/2016,wearewearside,0.532600691,1835,0.290245608
11/8/2016,projectspurs,0.436852252,1368,0.319336442
11/8/2016,totalbarca,0.373897654,427,0.875638533
11/8/2016,hoosierhuddle,0.111786302,460,0.243013701
11/8/2016,therepublikofmancunia,4.535842919,8128,0.55805154
11/8/2016,philliesnation,0.15702744,643,0.244210637
11/8/2016,tennisguru,0.832053934,1321,0.629866717
11/8/2016,tidefans,3.19632226,13221,0.241761006
12/8/2016,buffalofambase,0.034038738,149,0.228447908
12/8/2016,pittsburghsportsnow,1.316017192,5903,0.222940402
12/8/2016,totalbarca,0.336629859,416,0.809206393
12/8/2016,tennisguru,1.120847024,1927,0.581653878
12/8/2016,tidefans,2.377185908,10649,0.223230905
12/8/2016,philliesnation,0.143227938,635,0.225555807
12/8/2016,wearewearside,0.401833936,1500,0.267889291
12/8/2016,huskermax,1.272695161,5695,0.223475884
12/8/2016,projectspurs,0.367795198,1247,0.294944024
12/8/2016,hoosierhuddle,0.070950876,316,0.22452809
12/8/2016,therepublikofmancunia,4.523394664,8778,0.515310397
13-08-2016,wearewearside,0.168702386,619,0.272540203
13-08-2016,buffalofambase,0.036615831,158,0.231745764
13-08-2016,tidefans,2.284108996,10068,0.226868196
13-08-2016,hoosierhuddle,0.106702574,468,0.227996953
13-08-2016,tennisguru,0.698845701,1182,0.591240018
13-08-2016,projectspurs,0.353129361,1178,0.299770255
13-08-2016,therepublikofmancunia,2.496390959,4767,0.523681762
13-08-2016,huskermax,1.133293655,4990,0.227112957
13-08-2016,totalbarca,0.367730766,448,0.820827602
13-08-2016,pittsburghsportsnow,1.106561852,4884,0.226568766
13-08-2016,philliesnation,0.122202527,533,0.229273034
14-08-2016,projectspurs,0.331063682,934,0.354457904
14-08-2016,philliesnation,0.135507607,500,0.271015213
14-08-2016,tennisguru,0.851040909,1217,0.699294091
14-08-2016,buffalofambase,0.063502584,231,0.274902962
14-08-2016,huskermax,2.21833923,8257,0.268661648
14-08-2016,totalbarca,0.434952847,607,0.716561527
14-08-2016,therepublikofmancunia,2.952737317,7155,0.412681666
14-08-2016,wearewearside,0.611378437,1898,0.322117195
14-08-2016,tidefans,4.620809383,13925,0.331835503
14-08-2016,hoosierhuddle,0.101763556,377,0.269929855
14-08-2016,pittsburghsportsnow,1.627951187,6074,0.268019622
15-08-2016,totalbarca,0.518269899,635,0.816173069
15-08-2016,tidefans,3.838794078,12903,0.297511747
15-08-2016,huskermax,2.920435699,12366,0.236166561
15-08-2016,wearewearside,0.899206449,3176,0.283125456
15-08-2016,buffalofambase,0.054653067,226,0.241827731
15-08-2016,pittsburghsportsnow,1.447372043,6144,0.235574877
15-08-2016,hoosierhuddle,0.224684832,948,0.237009317
15-08-2016,tennisguru,0.156718838,255,0.61458368
15-08-2016,projectspurs,0.310868515,998,0.311491498
15-08-2016,therepublikofmancunia,3.896016306,2719,1.432885732
16-08-2016,lakersnation,23.53257183,10705,2.198278546
16-08-2016,buffalofambase,0.046827909,250,0.187311637
16-08-2016,pittsburghsportsnow,0.488296071,9116,0.053564729
16-08-2016,tidefans,0.494135526,11197,0.044131064
16-08-2016,projectspurs,0.231767925,870,0.266399914
16-08-2016,wearewearside,0.095138704,1660,0.057312472
16-08-2016,philliesnation,1.27566936,3527,0.361686805
16-08-2016,totalbarca,0.230018841,850,0.270610401
16-08-2016,huskermax,0.40383905,8791,0.045937783
16-08-2016,hoosierhuddle,0.076878483,996,0.077187232
16-08-2016,rabidhabs,0.012616478,20,0.630823925
16-08-2016,therepublikofmancunia,0.320865662,2264,0.141725116
16-08-2016,tennisguru,0.097100306,328,0.296037519
20-10-2016,royalsblue,0.012303266,11,1.1184787
20-10-2016,cornellsun,0.12973119,46,2.820243259
20-10-2016,totalbarca,1.588153687,144,11.02884505
20-10-2016,rousingthekop,2.772158028,256,10.8287423
20-10-2016,bluemoon-mcfc,29.82843879,3495,8.534603374
20-10-2016,therepublikofmancunia,5.444012526,487,11.17867048
20-10-2016,opendota,8.514641396,1455,5.851987214
20-10-2016,packinsider,4.81504489,899,5.35600099
20-10-2016,russellstreet,7.099125246,924,7.68303598
20-10-2016,hoosierhuddle,0.02795482,100,0.279548202
20-10-2016,wearewearside,0.140657707,16,8.791106687
20-10-2016,red94,0.137587515,56,2.456919913
20-10-2016,mcfcwatch,1.750673072,620,2.823666246
20-10-2016,philliesnation,0.331532916,146,2.270773398
20-10-2016,angelswin,0.985481409,731,1.348127782
20-10-2016,foreverwestham,1.143798048,190,6.019989725
20-10-2016,arsenal-mania,0.232658464,49,4.74813191
20-10-2016,dailythunder,3.60172905,243,14.82193025
20-10-2016,rabidhabs,0.012201351,14,0.871525053
20-10-2016,hornsports,0.167960916,40,4.199022906
20-10-2016,sixpackspeak,0.649050776,543,1.195305296
20-10-2016,projectspurs,2.802688487,521,5.379440473
20-10-2016,dodgerblue,0.067188958,15,4.479263858
20-10-2016,buffalofambase,0.103499215,56,1.848200271
20-10-2016,live4liverpool,2.228245811,174,12.80601041
20-10-2016,tidefans,4.374079952,3286,1.331125975
20-10-2016,thecelticblog,12.52213738,1215,10.30628591
20-10-2016,celticquicknews,24.10990669,1503,16.04118875
20-10-2016,chicitysports,0.133353691,228,0.58488461
20-10-2016,sfexaminer,7.061521489,1314,5.37406506
20-10-2016,nothingbutnewcastle,3.91452393,861,4.546485401
20-10-2016,tigernet,1.121185604,875,1.281354977
20-10-2016,allhabs,0.160314996,180,0.890638865
20-10-2016,gunnersphere,3.863776416,83,46.55152308
20-10-2016,tennisguru,0.192263264,29,6.629767734
20-10-2016,videocelts,6.268601308,2209,2.837755232
20-10-2016,pittsburghsportsnow,6.246012877,1896,3.294310589
20-10-2016,raiders411,0.00332718,15,0.221811997
20-10-2016,lakersnation,75.28522397,26419,2.849662136
20-10-2016,cardinalconnect,1.330647877,195,6.823835268
21-10-2016,packinsider,1.309047909,2185,0.599106594
21-10-2016,celticquicknews,2.708430108,23279,0.116346497
21-10-2016,dodgerblue,0.014411465,14,1.029390374
21-10-2016,tidefans,1.949434353,13013,0.149806682
21-10-2016,cornellsun,0.001151946,93,0.012386511
21-10-2016,opendota,5.692889256,4301,1.323619915
21-10-2016,dailythunder,0.541936885,1069,0.506956861
21-10-2016,nothingbutnewcastle,1.931536019,3589,0.538182229
21-10-2016,philliesnation,0.498053175,1313,0.379324581
21-10-2016,mcfcwatch,0.193914859,989,0.196071647
21-10-2016,therepublikofmancunia,0.395811347,2052,0.19289052
21-10-2016,rousingthekop,0.038249125,972,0.039350952
21-10-2016,totalbarca,0.439094304,388,1.13168635
21-10-2016,sfexaminer,0.678432731,4561,0.148746488
21-10-2016,live4liverpool,0.666806243,1058,0.630251648
21-10-2016,thecelticblog,3.051421282,21294,0.143299581
21-10-2016,chicitysports,0.984743398,6186,0.159189039
21-10-2016,pittsburghsportsnow,2.006510212,5026,0.399226067
21-10-2016,allhabs,0.074192909,287,0.25851188
21-10-2016,tennisguru,0.040445065,132,0.30640201
21-10-2016,gunnersphere,0.354903682,682,0.52038663
21-10-2016,hoosierhuddle,0.013323929,494,0.026971516
21-10-2016,catchronicles,0.042363653,108,0.39225605
21-10-2016,arsenal-mania,0.074849528,150,0.49899685
